category,difficulty,question,A,B,C,D,answer
Geography,Easy,What is the capital of Italy?,A. Rome,B. Milan,C. Venice,D. Florence,A
Geography,Easy,Which ocean is the largest?,A. Atlantic,B. Indian,C. Arctic,D. Pacific,D
Geography,Easy,What is the capital of Japan?,A. Tokyo,B. Seoul,C. Beijing,D. Bangkok,A
Geography,Easy,What is the capital of Canada?,A. Toronto,B. Ottawa,C. Vancouver,D. Montreal,B
Geography,Easy,Which continent is known as the "Dark Continent"?,A. Asia,B. Africa,C. Australia,D. South America,B
Geography,Easy,Which country is home to the kangaroo?,A. USA,B. Canada,C. Australia,D. New Zealand,C
Geography,Easy,What is the largest desert in the world?,A. Sahara,B. Arabian,C. Antarctic,D. Gobi,C
Geography,Easy,What is the longest river in the world?,A. Nile,B. Amazon,C. Yangtze,D. Mississippi,B
Geography,Easy,Which country is known as the Land of the Rising Sun?,A. China,B. Japan,C. South Korea,D. Thailand,B
Geography,Easy,What is the smallest country in the world by area?,A. Monaco,B. Vatican City,C. San Marino,D. Liechtenstein,B
Geography,Easy,Which river runs through London?,A. Seine,B. Thames,C. Nile,D. Amazon,B
Geography,Easy,What is the capital of Germany?,A. Vienna,B. Berlin,C. Bern,D. Budapest,B
Geography,Easy,Which mountain range separates Europe from Asia?,A. Rockies,B. Andes,C. Himalayas,D. Ural Mountains,D
Geography,Easy,What is the capital of Brazil?,A. Brasília,B. Rio de Janeiro,C. São Paulo,D. Salvador,A
Geography,Easy,What is the capital of Egypt?,A. Cairo,B. Alexandria,C. Giza,D. Luxor,A
Geography,Easy,Which continent is the Sahara Desert located in?,A. Asia,B. Africa,C. Australia,D. South America,B
Geography,Easy,What is the largest country in the world?,A. USA,B. Canada,C. Russia,D. China,C
Geography,Easy,What is the capital of Australia?,A. Sydney,B. Canberra,C. Melbourne,D. Brisbane,B
Geography,Easy,Which country is known for the Great Wall?,A. Japan,B. China,C. India,D. Korea,B
Geography,Easy,What is the capital of India?,A. New Delhi,B. Mumbai,C. Kolkata,D. Chennai,A
Geography,Easy,What is the highest mountain in the world?,A. K2,B. Kangchenjunga,C. Mount Everest,D. Lhotse,C
Geography,Easy,Which river is the longest in Europe?,A. Danube,B. Rhine,C. Volga,D. Seine,C
Geography,Easy,What is the official language of Brazil?,A. Spanish,B. Portuguese,C. French,D. English,B
Geography,Easy,Which country is known for its fjords?,A. Sweden,B. Norway,C. Finland,D. Denmark,B
Geography,Easy,What is the capital of Mexico?,A. Cancún,B. Guadalajara,C. Mexico City,D. Monterrey,C
Geography,Easy,Which continent is the Amazon Rainforest located in?,A. Africa,B. Asia,C. South America,D. North America,C
Geography,Easy,What is the capital of South Africa?,A. Pretoria,B. Cape Town,C. Johannesburg,D. Durban,A
Geography,Easy,Which island is known as the "Emerald Isle"?,A. Iceland,B. Ireland,C. Greenland,D. Fiji,B
Geography,Easy,What is the capital of Thailand?,A. Bangkok,B. Phuket,C. Chiang Mai,D. Pattaya,A
Geography,Easy,Which country is famous for the pyramids?,A. Greece,B. Egypt,C. Mexico,D. India,B
Geography,Easy,What is the capital of Greece?,A. Athens,B. Rome,C. Istanbul,D. Cairo,A
Geography,Easy,Which country has the largest population?,A. USA,B. India,C. China,D. Indonesia,C
Geography,Easy,Which river flows through Egypt?,A. Amazon,B. Nile,C. Yangtze,D. Mississippi,B
Geography,Easy,What is the capital of Russia?,A. Moscow,B. St. Petersburg,C. Kazan,D. Sochi,A
Geography,Easy,Which country is known as the "Land of the Midnight Sun"?,A. Finland,B. Norway,C. Sweden,D. Iceland,B
Geography,Easy,What is the capital of the Philippines?,A. Manila,B. Jakarta,C. Bangkok,D. Hanoi,A
